Sujeto,Id,Tipo de señales,Exactitud,Forward,Backward,Left,Right,Up,Down,Rest,loss,accuracy,categorical_accuracy,categorical_crossentropy
2,004,Combinación,28.789531079607418,0.0,0.0,0.5585585585585585,0.0,0.0,0.7717391304347826,0.18347338935574228
7,004,EMG,15.394088625907898,0.0,0.0,0.9,0.0,0.0,0.0,0.1500646830530401,11.07148265838623,0.15394088625907898,0.15394088625907898,11.07148265838623
7,004,EEG,16.99507385492325,0.1506849315068493,0.18072289156626506,0.3333333333333333,0.0684931506849315,0.2222222222222222,0.19148936170212766,0.30412371134020616,2.019498825073242,0.16995073854923248,0.16995073854923248,2.019498825073242
7,004,Combinación,16.502463054187192,1.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.14814814814814814
11,004,EMG,34.318554401397705,0.2857142857142857,0.25072463768115943,0.42857142857142855,0.5760869565217391,0.6288659793814433,0.3392070484581498,0.5054945054945055,1.706478238105774,0.34318554401397705,0.34318554401397705,1.706478238105774
11,004,EEG,17.81609207391739,0.1223021582733813,0.1506849315068493,0.17647058823529413,0.1891891891891892,0.1917808219178082,0.13366336633663367,0.4393939393939394,1.9558478593826294,0.1781609207391739,0.1781609207391739,1.9558478593826294
11,004,Combinación,32.67651888341543,0.0,0.24386724386724387,0.3333333333333333,0.717948717948718,0.5822784810126582,0.3465909090909091,0.41919191919191917
13,004,EMG,34.97537076473236,0.24214417744916822,0.7571428571428571,0.3383947939262473,0.35294117647058826,0.75,0.16554054054054054,0.48148148148148145,1.7875652313232422,0.3497537076473236,0.3497537076473236,1.7875652313232422
13,004,EEG,15.270936489105225,0.0,0.0,0.1444582814445828,0.0,0.0,0.0,0.9411764705882353,1.9456474781036377,0.15270936489105225,0.15270936489105225,1.9456474781036377
13,004,Combinación,39.16256157635468,0.2845528455284553,0.6706349206349206,0.30057803468208094,0.3333333333333333,0.723404255319149,0.1722488038277512,0.6896551724137931
